Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDC42,2718.78073,-0.610052633,0.087311113,-6.987113205,2.81E-12,1.48E-10
DCUN1D1,1377.501686,-0.608617431,0.111000199,-5.4830301,4.18E-08,1.06E-06
CDKN3,6747.391422,-0.605479858,0.090155155,-6.715975987,1.87E-11,8.60E-10
CBX3,24655.30061,-0.603850069,0.085513855,-7.061429655,1.65E-12,9.01E-11
ATF4,3656.665744,-0.597418452,0.107675533,-5.548321286,2.88E-08,7.55E-07
SELENOF,3733.81676,-0.59498725,0.109631279,-5.427166917,5.73E-08,1.40E-06
PTMA,40636.1409,-0.594490541,0.091042632,-6.529803957,6.59E-11,2.81E-09
SLIRP,19946.49383,-0.593422193,0.083733209,-7.087058991,1.37E-12,7.54E-11
RPL24,131423.0296,-0.59339239,0.077924342,-7.614981066,2.64E-14,1.82E-12
NDUFA5,1445.602828,-0.59263495,0.105676479,-5.608011872,2.05E-08,5.50E-07
PRR13,2499.149362,-0.586894195,0.096691283,-6.06977359,1.28E-09,4.23E-08
PSMA3,5139.930034,-0.586261836,0.107660651,-5.445460608,5.17E-08,1.28E-06
GLRX3,1927.697047,-0.585345656,0.116425683,-5.027633406,4.97E-07,9.95E-06
EIF1,48174.60289,-0.58456449,0.092415382,-6.325402547,2.53E-10,9.60E-09
RBM39,2152.475978,-0.582554214,0.089424248,-6.514499467,7.29E-11,3.09E-09
DGUOK,2671.779766,-0.582366749,0.106680893,-5.4589602,4.79E-08,1.20E-06
ZBTB8OS,2625.432913,-0.582301091,0.113867953,-5.113827701,3.16E-07,6.62E-06
CENPN,2998.082066,-0.579594389,0.108519355,-5.340931009,9.25E-08,2.18E-06
COA8,8519.847805,-0.576294102,0.072707957,-7.926148977,2.26E-15,1.79E-13
MPLKIP,1591.140575,-0.576163433,0.105752507,-5.448224822,5.09E-08,1.26E-06
CHCHD1,2946.576004,-0.573880225,0.092973971,-6.172482674,6.72E-10,2.35E-08
EIF1B,3709.836711,-0.571256338,0.08433204,-6.773894431,1.25E-11,5.95E-10
